,bound,PhotonOut flux,P680SGTp flux,μₓ,Photon Absorption,VITD3Sp flux,P700SGTp flux,LHCIIabsp flux,PCHLDp flux,RHODOPSINIp flux,BCAROSingletp flux,ZEAXExcp flux,OECLghtDMGp flux
1000,1000.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
995,995.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
990,990.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
985,985.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
980,980.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
975,975.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
970,970.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
965,965.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
960,960.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
955,955.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
950,950.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
945,945.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
940,940.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
935,935.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
930,930.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
925,925.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
920,920.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
915,915.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
910,910.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
905,905.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
900,900.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
895,895.0,18.078,301.25627927351974,0.038560620042751924,981.922,0.0,489.43072072648016,140.7658839242512,0.00011606746632868328,1.9127765445567977,0.0,47.40855752870912,0.0
